,variable,bin,points
0,basepoints,,490.0
1,var27_log_standard,"[-inf,-1.1999999999999993)",-4.0
2,var27_log_standard,"[-1.1999999999999993,-0.2999999999999985)",-9.0
3,var27_log_standard,"[-0.2999999999999985,0.7000000000000024)",2.0
4,var27_log_standard,"[0.7000000000000024,inf)",7.0
5,var42,"[-inf,1.0)",-15.0
6,var42,"[1.0,inf)",32.0
7,var23_log_standard,"[-inf,-2.220446049250313e-16)",-2.0
8,var23_log_standard,"[-2.220446049250313e-16,0.49999999999999967)",7.0
9,var23_log_standard,"[0.49999999999999967,1.3999999999999995)",-9.0
10,var23_log_standard,"[1.3999999999999995,inf)",19.0
11,var20_log_standard,"[-inf,-0.5999999999999983)",4.0
12,var20_log_standard,"[-0.5999999999999983,0.10000000000000231)",1.0
13,var20_log_standard,"[0.10000000000000231,1.2000000000000033)",-3.0
14,var20_log_standard,"[1.2000000000000033,inf)",-7.0
15,var30_log_standard,"[-inf,-0.3999999999999986)",-4.0
16,var30_log_standard,"[-0.3999999999999986,0.40000000000000213)",-0.0
17,var30_log_standard,"[0.40000000000000213,0.5000000000000022)",7.0
18,var30_log_standard,"[0.5000000000000022,1.0000000000000027)",2.0
19,var30_log_standard,"[1.0000000000000027,inf)",8.0
20,var33_log_standard,"[-inf,-0.29999999999999805)",-1.0
21,var33_log_standard,"[-0.29999999999999805,-0.19999999999999796)",-2.0
22,var33_log_standard,"[-0.19999999999999796,inf)",1.0
23,var40_log_standard,"[-inf,0.050000000000001155)",-2.0
24,var40_log_standard,"[0.050000000000001155,0.3000000000000014)",9.0
25,var40_log_standard,"[0.3000000000000014,1.000000000000002)",4.0
26,var40_log_standard,"[1.000000000000002,1.050000000000002)",-8.0
27,var40_log_standard,"[1.050000000000002,inf)",2.0
28,var22_log_standard,"[-inf,-0.1999999999999993)",1.0
29,var22_log_standard,"[-0.1999999999999993,0.5000000000000013)",-10.0
30,var22_log_standard,"[0.5000000000000013,0.7500000000000016)",7.0
31,var22_log_standard,"[0.7500000000000016,inf)",2.0
32,var28_log_standard,"[-inf,-0.2999999999999985)",5.0
33,var28_log_standard,"[-0.2999999999999985,0.7000000000000024)",0.0
34,var28_log_standard,"[0.7000000000000024,1.0000000000000027)",-7.0
35,var28_log_standard,"[1.0000000000000027,inf)",-11.0
36,var34_log_standard,"[-inf,-2.5)",8.0
37,var34_log_standard,"[-2.5,-0.29999999999999805)",-18.0
38,var34_log_standard,"[-0.29999999999999805,0.3000000000000025)",27.0
39,var34_log_standard,"[0.3000000000000025,0.8000000000000029)",-6.0
40,var34_log_standard,"[0.8000000000000029,1.4000000000000035)",38.0
41,var34_log_standard,"[1.4000000000000035,inf)",-1.0
42,var14_standard,"[-inf,-1.8999999999999995)",1.0
43,var14_standard,"[-1.8999999999999995,-0.7999999999999985)",-11.0
44,var14_standard,"[-0.7999999999999985,0.5000000000000027)",2.0
45,var14_standard,"[0.5000000000000027,0.7000000000000028)",-3.0
46,var14_standard,"[0.7000000000000028,inf)",10.0
47,var8_log_standard,"[-inf,-0.5)",-9.0
48,var8_log_standard,"[-0.5,1.0)",10.0
49,var8_log_standard,"[1.0,1.5)",46.0
50,var8_log_standard,"[1.5,inf)",31.0
51,var24_log_standard,"[-inf,-1.8999999999999995)",0.0
52,var24_log_standard,"[-1.8999999999999995,0.3000000000000025)",-1.0
53,var24_log_standard,"[0.3000000000000025,inf)",1.0
54,var39_log_standard,"[-inf,-0.4999999999999991)",-8.0
55,var39_log_standard,"[-0.4999999999999991,0.15000000000000147)",-5.0
56,var39_log_standard,"[0.15000000000000147,0.25000000000000155)",12.0
57,var39_log_standard,"[0.25000000000000155,0.700000000000002)",0.0
58,var39_log_standard,"[0.700000000000002,inf)",14.0
59,var43_standard,"[-inf,-0.3999999999999977)",-14.0
60,var43_standard,"[-0.3999999999999977,0.400000000000003)",3.0
61,var43_standard,"[0.400000000000003,1.400000000000004)",13.0
62,var43_standard,"[1.400000000000004,inf)",55.0
63,var25_log_standard,"[-inf,-1.6999999999999988)",-2.0
64,var25_log_standard,"[-1.6999999999999988,-0.5999999999999979)",-8.0
65,var25_log_standard,"[-0.5999999999999979,0.20000000000000284)",-2.0
66,var25_log_standard,"[0.20000000000000284,1.1000000000000036)",3.0
67,var25_log_standard,"[1.1000000000000036,inf)",11.0
68,var3_standard,"[-inf,-0.14229434378925815)",-2.0
69,var3_standard,"[-0.14229434378925815,0.4764349440285048)",-0.0
70,var3_standard,"[0.4764349440285048,1.7138935196640306)",1.0
71,var3_standard,"[1.7138935196640306,inf)",7.0
